1,0
 show me the cheapest one way flight from atlanta to pittsburgh,atis_flight
 are there any turboprop flights from pittsburgh to baltimore on december seventeenth,atis_flight
 i would like the fare on the us air 1039 from denver to pittsburgh on april twenty,atis_airfare
 american airlines from denver to milwaukee,atis_flight
 show me the flights on friday from newark to tampa,atis_flight
 show me the flights from los angeles to pittsburgh which arrive at pittsburgh on monday,atis_flight
 what are the cheapest one way flights from atlanta to pittsburgh,atis_flight
 what is yyz,atis_abbreviation
 list flights between oakland and san francisco,atis_flight
 newark to cleveland,atis_flight
 what flights are available from boston to denver,atis_flight
 on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555,atis_flight
 which is the flight number for the us air flight from philadelphia to boston is it 279 or is it 137338,atis_flight_no
 what ground transportation is there in atlanta,atis_ground_service
 i need information for flights leaving san francisco on thursday evening and returning to boston,atis_flight
 could you please list all of the classes of flights there are,atis_flight
 show me flights leaving from dallas to baltimore,atis_flight
 what economy flights are available from dallas to baltimore on december seventeenth,atis_flight
 what are the flights from boston to washington on october fifteenth 1991,atis_flight
 what flights stop in atlanta before noon,atis_flight
 show me round trips from houston to las vegas nonstop,atis_flight
 on friday i need to see all flights that leave atlanta and arrive in dallas before 6 pm,atis_flight
 i want to fly boston to dallas,atis_flight
 please tell me how many nonstop flights there are from boston to atlanta,atis_quantity
 what is the earliest flight leaving denver going to boston,atis_flight
 flights from newark new jersey to minneapolis,atis_flight
 what's the latest flight from houston to dallas,atis_flight
 flights to baltimore,atis_flight
 what flights from chicago to kansas city,atis_flight
 show me us air flights from san francisco to pittsburgh on tuesday,atis_flight
 show me the first class fares from boston to denver,atis_airfare
 i need a flight from dallas to san francisco,atis_flight
 i'd like to see flights from baltimore to atlanta that arrive before noon and i'd like to see flights from denver to atlanta that arrive before noon,atis_flight
 okay and can you tell me for flights departing from dallas to philadelphia the latest flight you would have departing from dallas to philadelphia,atis_flight
 i'd need information please on a flight from washington dc san francisco california,atis_flight
 i'd like to travel from boston to baltimore on us air 269 please tell me the times,atis_flight
 show me a list of ground transportation at denver,atis_ground_service
 what is the earliest flight flying from pittsburgh to atlanta on july fifth,atis_flight
 is there ground transportation in st. louis,atis_ground_service
 i'd like a flight tomorrow from kansas city to newark in the morning,atis_flight
 what flights from boston to pittsburgh after 723 pm,atis_flight
 show me the ground transportation in denver,atis_ground_service
 what ground transportation is available at boston,atis_ground_service
 does midwest express serve baltimore,atis_flight
 i would like to fly from boston to atlanta,atis_flight
 show me the flights from atlanta to baltimore,atis_flight
 please list the flights from new york to miami on a tuesday,atis_flight
 what are the coach fares for flights from charlotte to newark tuesday afternoon,atis_airfare
 what is restriction ap 55,atis_abbreviation
 what is the cheapest one way fare from boston to washington,atis_airfare
 what ground transportation is available at denver airport,atis_ground_service
 airline code as,atis_airline
 show me the flights from pittsburgh to san francisco for thursday night or friday,atis_flight
 i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,atis_flight
 flight from philadelphia to dallas arriving before 4 pm on saturday,atis_flight
 what classes of service does twa have,atis_flight
 is there a flight on delta airlines from boston to denver,atis_flight
 does delta have an early afternoon flight from boston to san francisco,atis_flight
 what airlines fly from philadelphia to san francisco,atis_airline
 i need to fly from nashville to tacoma first thing in the morning what is there,atis_flight
 i would like one flight from kansas city to st. paul arriving around dinnertime 6 pm,atis_flight
 what are the afternoon flights between washington and boston,atis_flight
 please list the flight times from pittsburgh to newark,atis_flight_time
 what are the flights from orlando to kansas city,atis_flight
 show me the flights available from atlanta to baltimore leaving atlanta in the morning,atis_flight
 show me the cities served by nationair,atis_city
 can you list the cheapest round trip fare from orlando to kansas city,atis_airfare
 i live in montreal and i want to travel to chicago then indianapolis and then return home,atis_flight
 show me the flights from denver to san diego leaving after 5 pm,atis_flight
 give me all the flights from miami to chicago on american airlines,atis_flight
 show me the fares on all flights round trip from pittsburgh to oakland,atis_airfare
 please list the flights from washington dc to atlanta,atis_flight
 i would like the time your earliest flight from washington to philadelphia,atis_flight_time
 i'd like a flight tomorrow from columbus to houston with a stopover in nashville,atis_flight
 show me all the flights from denver and all the flights from miami that arrive at baltimore around noon,atis_flight
 give me the flights from new york to las vegas and memphis to las vegas on sunday,atis_flight
 is us air,atis_airline
 i want a flight from houston to memphis on tuesday morning,atis_flight
 what flights leave seattle on sunday on continental after 9 pm,atis_flight
 what is the flight number of the earliest flight between boston and washington dc,atis_flight_no
 cheapest fare from memphis to seattle,atis_airfare
 flight from cleveland to nashville,atis_flight
 show me all flights from baltimore to philadelphia,atis_flight
 show me the flights from baltimore to seattle,atis_flight
 what does it cost to fly from boston to san francisco on united airlines flight 21,atis_airfare
 what is the latest flight from philadelphia to boston,atis_flight
 what is the least expensive one way fare between philadelphia and boston,atis_airfare
 i need a flight from philadelphia to dallas next wednesday in the morning,atis_flight
 please list available ground transportation in pittsburgh,atis_ground_service
 i want a flight from san diego to indianapolis that leaves tuesday afternoon,atis_flight
 please list the flight times from boston to pittsburgh,atis_flight_time
 show me the flights from san francisco to boston,atis_flight
 i need a flight from ontario to los angeles on a thursday,atis_flight
 give me a flight from newark to tampa on friday,atis_flight
 i would like a flight from philadelphia to san francisco,atis_flight
 on tuesday i'd like to fly from detroit to st. petersburg,atis_flight
 what does co mean,atis_abbreviation
 show flights from san francisco to denver on wednesday and thursday,atis_flight
 does midwest express serve philadelphia,atis_flight
 what flights are there arriving in chicago on continental after 11 pm,atis_flight
 i need a flight from boston to pittsburgh that leaves early in the morning,atis_flight
 what flights go from charlotte to baltimore in the morning,atis_flight
 show flights from denver to oakland arriving between 12 and 1 o'clock,atis_flight
 what round trip flights between atlanta and denver qualify for fare code qx,atis_flight
 now i want to see return flights from miami to new york,atis_flight
 what is the cost of flight dl 106 from philadelphia to boston,atis_airfare
 what are all flights from san francisco to philadelphia with stops in pittsburgh,atis_flight
 what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas,atis_aircraft
 show me wednesday afternoon flights from denver to san francisco,atis_flight
 i need to fly from boston to baltimore please give me the times of your flights in the morning before 8 o'clock,atis_flight
 i need a flight from atlanta to baltimore nonstop arriving at 7 pm please,atis_flight
 what cities does continental service,atis_city
 what are the flights from boston to san francisco,atis_flight
 what are the flights available in the morning between denver and san francisco,atis_flight
 show me the airlines between boston and toronto,atis_airline
 find me the cheapest one way fare i can get from boston to denver,atis_airfare
 what is the schedule of flights from boston to denver next monday,atis_flight_time
