ID,Question,Answer
1,When was Grameen Bank established?,1983
2,গ্রামীণ ব্যাঙ্ক কবে প্রতিষ্ঠিত হয়?,১৯৮৩
3,What was Grameen Bank before 1983?,"Grameen Bank (GB) used to be a project by the Government of Bangladesh (GoB) before it was established as a standalone company by Nobel leaureate Prof. Dr. Md. Yunus in 1983. The project was aimed at Grameen, or root-level development. Employees involved under the GB project would work out of the office of a public bank (Sonali bank, Rupali bank, Agrani bank etc). All loan operations would be carried out through the banks themselves as functions of a separate department. The project entrusted field-work with ""granters"" or ""matubbors."" These were trustworthy people who knew the loanees of the region and could therefore recommend the bank to accept or reject loans. The entire loan operation depended on recommendations, and therefore the honesty of the granter was specifically significant."
4,১৯৮৩ সালের আগে গ্রামীণ ব্যাঙ্ক কী ছিল?,"১৯৮৩ সালের আগে গ্রামীণ ব্যাঙ্ক ছিল একটা সরকারি প্রোজেক্ট। এর উৎপত্তির লক্ষ্য ছিল গ্রামীণ জনগোষ্ঠীর উন্নয়ন। সে সময়ে এরূপ সকল কর্মকাণ্ড সরকারি ব্যাংকের (সোনালি ব্যাংক, রূপালি ব্যাংক, অগ্রণি ব্যাংক স্বরূপ) দপ্তর থেকে সরাসরি সামাল দেওয়া হতো। শেকর পর্যায়ে ঋণীদের সাথে কাজ করার জন্য গ্রামীণ ""মাতুব্বর"" নিয়োগ দেওয়া হতো। মাতুব্বরদের নির্ভরশীল ও সৎ হওয়া অনেক গুরুত্বপূর্ণ ছিল, কেননা ঋণ অনুমোদন কিংবা প্রত্যাখ্যান করার আগে মাতুব্বরের সুপারিশ নেওয়া হতো। একারণে মাতুব্বরদের সকলের সাথে খাতির রাখা লাগতো, এবং সবার সাথে পরিচিত থাকা লাগতো। পুরো কার্যক্রমে মাতুব্বরের দায়িত্ব বিশেষভাবে তাৎপর্যপূর্ণ ছিল।"
5,What is the motivation behind Grameen Bank?,"The motivation of Grameen Bank is ""empowering the root and enhancing their position."""
6,গ্রামীণ ব্যাঙ্কের পেছনে প্রেরণা কী?,গ্রামীণ ব্যাঙ্কের পেছনে প্রেরণা গ্রামীণ জনগোষ্ঠীর উন্নয়ন এবং তাদের অবস্থাকে সম্প্রসারিত করা।
7,Who is the founder of Grameen Bank?,Prof. Dr. Md. Yunus
8,গ্রামীণ ব্যাঙ্কের প্রতিষ্ঠাতা কে?,প্রফেসর ডঃ মোঃ ইউনুস
9,What are the three zeros of social business?,"Prof. Dr. Md. Yunus often speaks of the three zero club. Every social business must aim towards three zeros, and these are: a) zero poverty, b) zero unemployment, and c) zero carbon emission."
10,"সামাজিক ব্যবসায় ""থ্রি জিরো"" বলতে কী বোঝায়?","প্রফেসর ডঃ মোঃ ইউনুস প্রায়ই থ্রি জিরো ক্লাবের কথা বলে। প্রত্যেক সামাজিক ব্যবসার তিনটি শূন্য মাথায় রেখে কাজ করতে হবেঃ ক) শূন্য দারিদ্র্য, খ) শূন্য বেকারত্ব, ও গ) শূন্য কার্বন নিঃসরণ। এই তিনটা শূন্যকে বলে সামাজিক ব্যবসার তিন শূন্য অর্থাৎ ""Three Zeros of Social Business."""
